index,Row Created Date Time, Sponsor Name, Agency Name,Facility Name, Facility Code, Program Name, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State,zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Location,borough
3430,12/19/2017 02:08:00 PM,University Settlement Society of New York,University Settlement Society of New York,University Settlement Society of New York,6745,Care Coordination Services,Children Adolescents,(212)674-9120,(212)864-2007,184 Eldridge Street,,New York,NY,10002,N,,,New York,New York City,Health Home Non-Medicaid Care Management,Support,Care Coordination,"184 Eldridge Street
New York, NY 10002
(40.720767, -73.990629)",Manhattan
3448,12/19/2017 02:08:00 PM,NYP Community Programs Inc.,New York-Presbyterian Brooklyn Methodist Hosp,New York-Presbyterian Brooklyn Methodist Hosp,6395,New York-Presbyterian Brooklyn Methodist Hospital Psychiatri,Adults,(718)780-3000x1718,(718)780-3000x3775,506 Sixth Street,Unit 6 North And South,Brooklyn,NY,11215,Y,,36.0,Kings,New York City,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,"506 Sixth Street
Brooklyn, NY 11215
(40.668263, -73.979141)",Brooklyn
3454,12/19/2017 02:08:00 PM,Community Association of Progressive Dominicans Inc.,Community Association of Progressive Dominica,Community Association of Progressive Dominica,8819,Audubon Ballroom Youth,Children Adolescents Adults,(212)781-5500,(212)568-4872,513 W 207th St,1st,New York,NY,10034,N,,,New York,New York City,Non-Medicaid Care Coordination,Support,Care Coordination,"513 W 207th St
New York, NY 10034
(40.864972, -73.919474)",Manhattan
3482,12/19/2017 02:08:00 PM,Service Program for Older People Inc.,Service Program for Older People Inc.,Service Program for Older People Inc.,6698,Service Program for Older People PROS,Adults,(212)787-7120,,188 W 88th Street,,New York,NY,10024,Y,,36.0,New York,New York City,Comprehensive PROS with Clinical Treatment,Outpatient,Personalized Recovery-Oriented Services,"188 W 88th Street
New York, NY 10024
(40.788864, -73.973781)",Manhattan
3510,12/19/2017 02:08:00 PM,Lesbian & Gay Community Services Center Inc.,Lesbian & Gay Community Services Center Inc.,Lesbian & Gay Community Services Center Inc.,7762,Outreach,Adults,(212)620-7310,(212)620-7310,208 W. 13th Street,,New York,NY,10011,N,,,New York,New York City,Outreach,Support,General Support,"208 W 13th Street
New York, NY 10011
(40.738227, -74.001069)",Manhattan
3651,12/19/2017 02:08:00 PM,The Coalition for Behavioral Health Inc.,The Coalition for Behavioral Health Inc.,The Coalition for Behavioral Health Inc.,7799,Coalition Center for Rehabilitation & Recovery,Adults,(212)742-1600x107,(212)742-1600x104,123 William Street Suite 1901,,New York,NY,10038,N,,,New York,New York City,Advocacy/Support Services,Support,Self-Help,"123 William Street
New York, NY 10038
(40.709032, -74.006967)",Manhattan
3749,12/19/2017 02:08:00 PM,Heights Hill Mental Health Services,Heights Hill Mental Health Services,Heights Hill Mental Health Services,7856,Support/Advocacy Services,Adults,(718)852-5212,(718)852-5212,25 Flatbush Avenue,3rd Floor,Brooklyn,NY,11217,N,,,Kings,New York City,Advocacy/Support Services,Support,Self-Help,"25 Flatbush Avenue
Brooklyn, NY 11217
(40.687877, -73.980153)",Brooklyn
3816,12/19/2017 02:08:00 PM,The Epilepsy Institute dba Epilepsy Foundation of Metropolitan New York,The Epilepsy Inst dba Epilepsy Found Metro NY,The Epilepsy Inst dba Epilepsy Found Metro NY,8068,Epilepsy Foundation Counseling Center,Adults,(212)677-8550,(212)677-8550,65 Broadway,5th Floor A-1,New York,NY,10006,Y,,36.0,New York,New York City,Clinic Treatment,Outpatient,Clinic Treatment,"65 Broadway
New York, NY 10006
(40.707146, -74.012311)",Manhattan
3892,12/19/2017 02:08:00 PM,Families on the Move of NYC Inc.,Families on the Move of NYC Inc.,Families on the Move of NYC Inc.,7926,Family Support Program,Children Adolescents,(347)682-4872,(347)482-4870,358 St. Marks Place,,Staten Island,NY,10301,N,,,Richmond,New York City,Family Support Services - Children & Family,Support,General Support,"358 St Marks Place
Staten Island, NY 10301
(40.641077, -74.077773)",Staten Island
3921,12/19/2017 02:08:00 PM,Staten Island Mental Health Society Inc.,Staten Island Mental Health Society Inc.,Staten Island Mental Health Society Inc.,6567,CMHC Co-Location in Primary Care Setting,,(718)442-2225,(718)442-2225x420,669 Castleton Avenue,,Staten Island,NY,10301,N,,,Richmond,New York City,Advocacy/Support Services,Support,Self-Help,"669 Castleton Avenue
Staten Island, NY 10301
(40.634696, -74.103752)",Staten Island
3987,12/19/2017 02:08:00 PM,Richmond Medical Center dba Richmond University Medical Center,Richmond Medical Center dba Richmond UMC,Richmond Medical Center dba Richmond UMC,7749,West Brighton Clinic,Children Adolescents Adults,(718)818-1234,(718)876-4040,690 Castleton Avenue,,Staten Island,NY,10314,Y,,36.0,Richmond,New York City,Clinic Treatment,Outpatient,Clinic Treatment,"690 Castleton Avenue
Staten Island, NY 10314
(40.634701, -74.105762)",Staten Island
4081,12/19/2017 02:08:00 PM,NYC Department of Education,NYC Department of Education,NYC Department of Education,7837,Mobile Response Team - Mental Health,Children Adolescents,(718)935-5439,(347)396-7070,4209 28 Strret,,Queens,NY,11101,N,,,Queens,New York City,School Based Mental Health,Support,Education,"4209 28
Queens, NY 11101
(40.749488, -73.939294)",Queens
4532,12/19/2017 02:08:00 PM,Lifeline Center for Child Development Inc.,Lifeline Center for Child Development Inc.,Lifeline Center for Child Development Inc.,6134,Lifeline Center for Child Development,Children Adolescents,(718)740-4300,(718)740-4300,80-09 Winchester Blvd,,Queens Village,NY,11427,Y,1.0,36.0,Queens,New York City,Day Treatment,Outpatient,Day Treatment,"80 09 Winchester Blvd
Queens Village, NY 11427
(40.73861, -73.73383)",Queens
